"Tỷ suất chết của trẻ em dưới 5 tuổi phân theo địa phương chia theo Tỉnh/Thành phố và Năm"

"Tỉnh/Thành phố";"2010";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Sơ bộ 2019"
"Đồng bằng sông Hồng";18.4;18.4;18.3;17.7;17.5;17.1;16.9;16.8;16.5
"Hà Nội";15.5;15.7;15.8;15.2;15.2;14.9;14.7;14.6;14.4
"Vĩnh Phúc";18.9;20.6;20.3;19.7;19.3;19.0;18.7;18.6;18.3
"Bắc Ninh";19.3;20.6;20.2;19.6;19.2;18.9;18.6;18.5;18.2
"Quảng Ninh";23.8;24.0;23.8;23.0;22.7;22.3;21.9;21.8;21.4
"Hải Dương";18.3;18.5;18.5;17.8;17.5;17.2;17.0;16.8;16.5
"Hải Phòng";17.2;19.1;18.9;18.3;18.0;17.6;17.4;17.3;17.0
"Hưng Yên";19.3;19.5;19.3;18.6;18.3;18.0;17.7;17.6;17.3
"Thái Bình";17.2;16.4;16.1;15.6;15.3;15.1;14.8;14.8;14.5
"Hà Nam";23.6;18.9;18.9;18.3;18.0;17.7;17.4;17.3;17.0
"Nam Định";19.8;20.1;19.8;19.1;18.8;18.5;18.2;18.1;17.7
"Ninh Bình";23.1;22.7;22.6;21.9;21.5;21.1;20.8;20.7;20.3
"Trung du và miền núi phía Bắc";36.9;35.7;35.2;33.9;33.4;32.5;32.4;32.5;31.5
"Hà Giang";57.6;55.4;54.6;52.7;51.8;50.8;50.0;49.7;48.9
"Cao Bằng";43.1;38.4;38.2;36.9;36.3;35.6;35.1;34.9;34.2
"Bắc Kạn";29.4;28.2;27.9;27.0;26.5;26.0;25.6;25.5;24.9
"Tuyên Quang";28.7;28.6;28.4;27.5;28.0;27.5;27.1;26.9;26.5
"Lào Cai";48.6;46.5;46.4;44.8;44.0;43.2;42.5;42.2;41.5
"Yên Bái";40.4;45.3;45.1;43.3;41.1;40.3;39.7;39.4;38.7
"Thái Nguyên";21.0;23.1;23.1;22.5;22.1;21.7;21.4;21.2;20.9
"Lạng Sơn";25.1;29.5;29.0;28.1;27.6;27.1;26.6;26.5;26.0
"Bắc Giang";25.1;24.1;23.8;23.0;23.0;22.6;22.3;22.1;21.8
"Phú Thọ";27.4;23.7;23.8;23.0;22.6;22.2;21.9;21.8;21.4
"Điện Biên";58.0;55.3;54.9;53.0;52.1;51.1;50.3;50.0;49.1
"Lai Châu";73.3;69.9;69.6;67.1;65.9;64.6;63.5;63.1;61.9
"Sơn La";39.0;37.3;36.5;35.3;34.7;34.0;33.5;33.3;32.7
"Hoà Bình";29.3;26.6;26.6;25.7;26.2;25.7;25.3;25.1;24.8
"Bắc Trung Bộ và Duyên hải miền Trung";25.7;25.8;25.5;24.9;24.5;24.1;23.9;23.7;23.2
"Thanh Hoá";22.5;24.4;24.1;23.3;23.3;22.8;22.5;22.3;22.0
"Nghệ An";25.3;26.1;26.2;25.3;25.3;24.8;24.4;24.3;23.9
"Hà Tĩnh";26.3;27.3;27.1;26.2;25.8;25.3;24.9;24.7;24.3
"Quảng Bình";27.3;27.0;26.9;26.0;25.5;25.1;24.7;24.5;25.1
"Quảng Trị";55.8;52.2;51.7;49.9;49.0;48.1;47.4;47.1;46.3
"Thừa Thiên Huế";29.1;31.7;31.8;30.7;30.2;29.6;29.2;29.0;28.5
"Đà Nẵng";15.1;14.2;13.9;13.4;13.2;13.1;12.9;12.8;12.6
"Quảng Nam";29.4;26.1;26.3;25.5;25.0;24.6;24.2;24.0;23.6
"Quảng Ngãi";27.1;28.5;28.3;27.4;26.9;26.4;26.0;25.8;25.4
"Bình Định";22.8;24.1;23.9;23.1;22.7;22.3;22.0;21.8;21.4
"Phú Yên";29.0;24.1;24.0;23.2;22.8;22.4;22.0;21.9;21.5
"Khánh Hoà";22.5;22.1;22.1;21.4;21.0;20.6;20.3;20.2;19.9
"Ninh Thuận";28.3;26.1;25.9;25.0;24.6;24.2;23.8;23.7;23.3
"Bình Thuận";21.0;20.0;19.8;19.1;18.8;18.4;18.2;18.0;17.7
"Tây Nguyên";40.9;40.2;39.8;39.5;37.7;36.5;36.0;35.8;35.5
"Kon Tum";59.4;62.6;62.7;60.4;59.3;58.1;57.2;56.8;55.8
"Gia Lai";39.1;47.2;47.0;44.2;40.0;39.3;38.7;38.4;37.8
"Đắk Lắk";33.3;37.4;37.6;36.8;36.4;35.8;35.2;35.0;34.4
"Đắk Nông";40.6;43.6;43.5;41.3;39.1;38.4;37.8;37.6;37.0
"Lâm Đồng";21.8;24.8;24.8;25.0;24.6;24.1;23.8;23.6;23.2
"Đông Nam Bộ";14.3;13.7;13.5;13.1;12.9;12.8;12.6;12.4;12.7
"Bình Phước";24.4;22.3;22.2;21.4;21.1;20.7;20.4;20.3;19.9
"Tây Ninh";19.5;18.8;18.5;17.9;17.6;17.3;17.0;16.9;16.6
"Bình Dương";13.5;14.1;14.1;13.6;13.4;13.3;13.1;13.0;14.1
"Đồng Nai";13.5;12.2;12.1;11.7;11.6;11.3;11.2;11.1;10.9
"Bà Rịa - Vũng Tàu";13.3;13.1;12.9;12.5;12.3;12.1;11.9;11.8;11.6
"TP.Hồ Chí Minh";11.6;12.2;12.3;12.5;12.3;11.5;11.3;11.2;11.0
"Đồng bằng sông Cửu Long";18.9;18.0;17.9;17.4;17.0;16.7;16.4;16.3;15.9
"Long An";14.6;14.9;15.0;14.5;14.3;14.0;13.8;13.7;13.5
"Tiền Giang";15.8;14.1;14.3;13.9;13.6;13.4;13.2;13.2;13.0
"Bến Tre";17.2;15.3;15.4;14.9;14.6;14.4;14.2;14.1;13.8
"Trà Vinh";22.5;19.3;19.4;18.7;18.4;18.1;17.8;17.7;17.3
"Vĩnh Long";17.2;16.3;15.9;15.4;15.1;14.8;14.6;14.5;14.4
"Đồng Tháp";21.0;18.7;18.7;18.1;17.8;17.4;17.2;17.1;16.8
"An Giang";23.8;22.9;22.7;21.9;21.6;21.2;20.9;20.7;20.4
"Kiên Giang";20.4;19.4;19.5;18.8;18.8;18.5;18.2;18.1;17.8
"Cần Thơ";13.5;14.8;14.6;14.1;13.9;13.6;13.4;13.4;13.2
"Hậu Giang";15.8;15.8;15.8;15.3;15.0;14.8;14.6;14.5;14.2
"Sóc Trăng";22.5;20.8;20.7;20.0;19.6;19.3;19.0;18.9;18.6
"Bạc Liêu";19.2;19.4;19.1;18.5;18.1;17.8;17.5;17.4;17.2
"Cà Mau";21.0;17.8;17.8;17.2;16.9;16.6;16.3;16.2;15.9
