"Hiện trạng rừng có đến 31/12 phân theo địa phương chia theo Tỉnh, thành phố, Năm và Hiện trạng rừng"

" ";"2008(*)";" ";"2009";" ";"2010(**)";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2018";" ";"2019";" "
" ";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)";"Tổng diện tích rừng";"Tỷ lệ che phủ rừng (%)"
"Hà Nội";23.0;6.6;24.5;7.1;24.3;7.0;24.3;7.0;24.5;7.1;23.8;6.8;23.7;6.8;20.0;5.6;20.0;5.6;19.6;5.5;19.6;5.7
"Vĩnh Phúc";28.4;21.8;28.6;22.3;28.5;22.4;28.2;22.1;31.0;24.1;31.9;25.0;31.8;24.9;33.3;24.1;33.3;23.8;33.5;24.4;33.2;24.7
"Bắc Ninh";0.6;0.5;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.7
"Quảng Ninh";291.3;42.6;301.8;44.4;310.4;46.2;316.6;47.7;322.4;48.9;340.7;53.0;356.2;53.5;369.9;53.6;370.3;54.1;370.4;54.7;370.3;54.8
"Hải Dương";10.4;6.3;10.3;6.2;10.2;6.2;10.4;6.3;10.4;6.3;10.4;6.3;11.1;6.0;11.1;6.7;9.1;5.2;9.0;5.2;9.0;5.1
"Hải Phòng";17.3;11.2;17.8;11.2;18.0;11.3;18.0;11.3;18.0;11.3;18.0;11.3;18.0;11.3;18.3;11.3;13.8;8.8;13.9;8.5;13.8;8.5
"Thái Bình";7.5;4.4;7.7;4.9;7.3;4.8;7.3;4.7;5.7;3.6;5.7;3.6;5.9;3.8;3.6;2.1;4.6;2.5;4.2;2.2;4.3;2.4
"Hà Nam";8.0;9.3;7.4;8.6;4.8;5.3;4.8;5.3;4.7;5.5;4.8;5.5;4.8;5.4;5.5;6.4;5.5;6.2;5.4;6.3;5.4;6.2
"Nam Định";2.8;1.7;2.8;1.7;3.6;2.2;3.7;2.2;3.5;2.1;3.5;2.1;3.5;2.1;3.1;1.7;3.1;1.7;3.1;1.8;3.1;1.9
"Ninh Bình";27.1;18.8;27.4;19.1;27.2;19.3;26.9;19.2;26.9;19.3;26.6;19.1;27.4;19.6;26.2;18.1;27.5;18.8;27.3;19.3;27.6;19.3
"Hà Giang";422.4;52.6;427.5;51.6;444.9;53.3;447.9;54.2;447.9;55.2;437.2;54.3;437.0;54.3;455.6;56.3;448.9;55.1;459.2;56.5;470.1;58.0
"Cao Bằng";333.5;49.5;334.9;49.8;336.8;50.0;338.3;50.4;339.0;50.5;339.5;50.5;339.2;50.5;360.5;53.5;360.8;53.5;367.9;54.4;373.3;55.2
"Bắc Kạn";274.3;55.7;281.3;56.6;288.1;57.5;296.9;58.7;367.5;70.6;368.9;70.8;370.0;70.8;370.2;71.0;370.4;71.4;371.9;72.6;371.9;72.9
"Tuyên Quang";386.1;62.5;386.1;62.8;390.1;64.1;397.4;64.2;405.5;64.3;408.6;64.5;415.6;64.7;415.6;64.8;417.0;64.7;422.5;65.0;424.7;65.2
"Lào Cai";314.9;47.8;323.3;49.4;327.8;50.1;333.6;50.8;334.9;51.2;344.3;52.0;351.4;52.8;348.3;53.1;353.0;53.8;361.1;54.8;367.5;55.6
"Yên Bái";400.2;56.3;404.4;56.9;410.7;57.7;410.8;58.1;414.6;58.8;407.8;57.5;430.9;60.4;453.1;62.2;454.8;62.5;464.2;63.0;462.3;63.0
"Thái Nguyên";167.9;45.3;171.7;45.7;175.1;46.0;177.8;46.6;178.8;47.2;181.0;47.8;182.7;47.9;185.5;48.8;186.5;47.1;187.4;46.5;187.5;47.6
"Lạng Sơn";382.4;44.1;393.9;45.1;409.4;46.4;418.9;47.6;435.1;49.6;448.2;50.9;467.2;54.5;513.8;60.6;522.5;60.5;533.0;62.4;531.7;62.4
"Bắc Giang";156.9;36.5;159.0;37.6;127.3;29.4;144.4;34.1;145.7;35.5;149.4;36.5;152.4;37.0;156.4;36.4;159.0;37.2;160.3;37.6;160.5;37.8
"Phú Thọ";175.4;47.8;178.9;48.8;183.1;49.4;182.7;50.0;184.6;50.6;184.6;50.4;185.8;50.6;170.5;39.3;170.8;39.4;171.7;39.6;171.6;39.7
"Điện Biên";397.1;41.6;394.6;41.0;347.2;36.2;350.5;36.6;393.3;40.2;400.0;40.9;401.7;41.3;368.3;38.4;368.8;38.5;381.6;39.8;406.3;42.2
"Lai Châu";349.9;38.1;363.4;39.4;383.6;41.2;391.0;41.7;403.1;43.7;409.9;43.8;419.4;45.0;416.4;45.4;420.8;46.8;445.3;49.3;454.8;50.2
"Sơn La";583.5;41.2;587.0;41.3;625.8;44.1;633.7;44.6;635.2;44.7;635.9;44.7;633.7;44.6;601.1;42.3;599.0;42.4;619.8;43.5;634.5;44.5
"Hoà Bình";213.9;42.2;227.5;45.5;225.0;0.5;222.6;45.8;240.0;49.3;244.0;49.4;242.8;48.9;267.3;51.0;265.7;51.1;257.5;51.5;261.8;51.5
"Thanh Hoá";527.1;46.1;534.7;46.7;545.0;49.0;551.3;49.1;565.2;50.5;576.5;51.0;583.6;51.5;626.7;52.8;626.7;52.9;633.2;53.0;641.9;53.4
"Nghệ An";807.2;47.8;854.2;51.0;874.5;52.3;884.0;53.1;885.2;53.3;899.9;54.0;902.2;54.6;987.8;57.2;988.5;57.0;992.4;58.0;996.8;58.5
"Hà Tĩnh";308.0;48.6;312.1;49.1;318.2;50.2;321.4;51.4;327.3;49.5;336.3;50.3;328.0;52.5;326.2;52.6;325.5;52.4;328.3;52.2;328.9;52.5
"Quảng Bình";545.8;66.9;548.7;66.6;548.3;66.9;549.5;67.0;574.9;70.1;555.6;67.4;561.6;67.6;563.4;67.5;591.4;67.5;585.2;67.4;585.2;67.8
"Quảng Trị";218.7;45.4;220.8;45.7;226.5;46.7;229.8;47.1;231.7;47.6;236.0;48.0;241.1;48.6;242.3;49.5;254.3;49.6;253.5;50.1;253.0;50.1
"Thừa Thiên Huế";293.2;55.0;294.3;56.2;294.7;56.5;294.7;56.7;295.0;56.7;296.1;56.6;297.8;56.6;298.6;56.9;312.3;56.3;311.1;57.3;311.2;57.4
"Đà Nẵng";56.6;36.4;47.0;33.1;51.3;38.8;59.9;46.0;59.9;45.2;56.0;43.5;54.9;40.8;58.1;42.4;62.6;43.6;62.8;46.7;63.6;47.0
"Quảng Nam";457.2;43.1;465.4;43.5;512.5;48.2;513.8;48.3;517.1;48.6;546.2;49.4;550.3;44.9;552.1;51.5;680.4;56.9;680.6;58.6;682.2;59.4
"Quảng Ngãi";231.7;41.6;234.8;41.7;250.1;43.9;255.6;45.3;261.6;46.6;277.9;48.3;294.1;49.8;310.2;51.1;344.9;49.1;334.3;49.6;333.4;51.6
"Bình Định";261.9;41.2;272.0;43.6;287.5;45.8;299.4;47.2;304.7;48.2;311.9;48.8;316.6;49.9;329.5;52.2;383.6;52.5;383.1;54.9;380.6;55.2
"Phú Yên";163.9;31.8;173.6;33.8;178.5;34.4;181.7;35.1;181.4;35.1;182.0;35.2;183.5;35.2;194.6;36.4;232.2;38.2;231.5;43.4;236.9;44.0
"Khánh Hoà";194.4;40.8;202.6;42.7;204.5;43.2;206.1;39.3;211.5;40.5;212.9;40.6;214.0;40.8;215.0;40.9;249.0;46.0;247.1;45.8;244.0;45.5
"Ninh Thuận";147.4;43.9;147.9;43.7;148.7;43.6;149.0;43.5;148.6;43.7;148.7;44.0;148.8;44.2;148.9;44.1;144.4;42.3;144.6;42.3;155.4;45.6
"Bình Thuận";284.3;36.3;283.9;35.8;286.6;35.5;300.5;38.2;300.1;37.0;295.6;37.4;292.9;37.2;326.4;39.8;326.2;40.3;326.1;40.3;340.5;43.1
"Tây Nguyên";2928.7;..;2925.2;..;2874.4;..;2848.0;..;2903.9;..;2848.7;..;2567.1;45.8;2562.0;46.1;2558.7;46.0;2557.4;46.0;2559.9;45.9
"Kon Tum";655.9;67.3;650.3;66.7;654.1;66.8;632.0;64.6;656.8;67.4;656.6;67.7;617.7;62.4;617.9;62.3;617.7;62.2;616.8;62.3;621.1;63.0
"Gia Lai";717.4;46.0;715.7;45.9;719.8;45.5;719.5;45.7;720.6;45.4;719.9;45.4;627.9;40.1;627.0;40.3;625.9;40.2;632.2;40.8;633.3;40.2
"Đắk Lắk";629.0;47.2;633.2;47.2;610.5;45.5;609.3;45.1;641.2;48.0;641.2;48.0;528.1;38.7;526.5;39.2;526.4;39.3;512.8;38.5;515.0;38.6
"Đắk Nông";323.7;49.0;324.0;49.1;288.8;44.2;289.0;44.0;287.6;43.6;230.6;35.3;261.2;39.0;258.5;39.1;256.1;38.8;258.8;39.2;251.2;37.9
"Lâm Đồng";602.7;61.2;602.0;47.2;601.2;60.8;598.2;60.4;597.7;60.3;600.4;60.3;532.1;52.5;532.1;53.1;532.6;53.1;536.7;54.0;539.4;54.5
"Bình Phước";132.3;17.2;113.9;15.0;116.7;13.5;116.5;13.4;160.6;19.5;160.3;21.6;160.4;22.7;159.3;23.1;161.2;21.6;160.6;22.8;160.7;22.8
"Tây Ninh";45.3;11.1;46.3;11.2;48.1;11.4;52.1;12.2;57.0;13.8;57.9;14.0;60.1;14.6;60.4;14.7;66.3;15.7;66.5;16.0;65.7;16.0
"Bình Dương";9.3;3.4;9.2;3.4;9.3;3.4;9.3;3.4;10.2;3.8;10.2;3.7;10.2;3.7;10.2;3.8;10.4;3.4;10.3;3.2;10.0;3.1
"Đồng Nai";167.3;28.3;167.6;28.4;167.9;28.4;179.7;29.8;178.7;29.7;177.9;29.8;185.4;30.8;184.2;30.7;182.3;29.1;184.5;29.0;182.7;29.1
"Bà Rịa - Vũng Tàu";26.8;13.2;26.8;12.9;26.7;12.9;26.1;12.9;26.0;12.5;26.1;12.6;25.6;12.7;25.4;12.5;28.3;13.7;28.2;13.6;28.4;13.5
"TP.Hồ Chí Minh";38.9;18.5;39.0;18.6;39.3;18.8;39.3;18.7;39.3;18.7;34.4;16.4;34.4;16.4;34.4;16.4;36.6;17.2;36.6;17.5;33.5;16.0
"Long An";52.8;11.6;46.5;10.1;38.2;8.3;33.4;7.4;29.7;6.6;28.0;6.2;25.7;5.7;25.6;5.7;23.0;4.8;22.5;4.3;22.6;3.7
"Tiền Giang";10.4;4.1;8.8;3.5;7.7;3.1;6.3;2.4;5.5;2.2;3.9;1.5;3.9;1.6;3.8;1.2;3.4;1.3;2.6;1.0;2.6;1.0
"Bến Tre";3.8;1.5;3.8;1.5;3.9;1.6;4.0;1.6;4.0;1.6;3.9;1.6;4.1;1.6;4.1;1.6;4.2;1.6;4.2;1.6;4.4;1.8
"Trà Vinh";6.7;2.9;7.2;3.1;7.5;3.2;7.5;3.2;7.5;3.1;7.8;3.2;8.2;3.1;8.7;3.7;9.0;3.3;9.0;3.7;9.2;3.8
"Đồng Tháp";9.0;2.5;8.4;2.4;7.6;2.2;7.1;2.0;6.7;1.9;44.1;13.0;52.4;15.2;52.2;15.1;6.1;1.7;6.1;1.5;6.1;1.6
"An Giang";14.1;3.9;13.4;3.6;13.8;3.8;12.5;3.4;12.3;3.4;12.3;3.4;12.2;3.3;12.2;3.3;12.9;3.2;13.7;3.3;13.7;3.6
"Kiên Giang";86.9;13.6;71.8;11.2;72.6;11.3;71.1;11.1;63.8;10.0;61.7;9.6;55.5;8.6;55.3;8.5;55.2;8.2;70.5;10.7;76.2;12.0
"Hậu Giang";2.5;1.2;2.5;1.4;2.6;1.6;2.9;1.7;3.3;1.7;2.5;1.3;2.5;1.3;2.6;1.3;2.8;1.4;3.1;1.5;3.2;1.6
"Sóc Trăng";10.5;3.1;10.5;3.1;10.6;3.0;10.6;3.1;10.3;2.9;10.3;2.9;9.4;2.0;10.5;2.2;10.7;2.6;11.1;2.8;10.7;2.8
"Bạc Liêu";4.3;1.7;4.2;1.7;4.0;1.6;4.0;1.6;3.4;1.6;3.4;1.4;4.6;1.9;4.6;1.8;4.6;1.8;4.7;1.8;4.5;1.7
"Cà Mau";97.5;16.2;99.2;16.5;100.4;16.7;100.7;17.0;102.7;17.3;104.2;17.6;92.3;12.5;92.4;10.8;94.2;10.8;95.5;18.3;96.1;18.4

"(*) Theo Quyết định số 1267/QĐ-BNN-KL ngày 04/5/2009 của Bộ "
"trưởng Bộ Nông nghiệp và Phát triển Nông thôn.(**) Diện tích "
"rừng mới trồng bao gồm những diện tích rừng trồng mới trong "
"2 đến 3 năm đầu chưa đạt tiêu chuẩn rừng và không được tính "
"vào tỷ lệ che phủ rừng."

