city,year,humidity,area,district,month,quarter
Lai Châu,2006,78.0,Tây Bắc,Ngô Quyền,5,quater 2
Lai Châu,2007,81.0,Tây Bắc,Đồ Sơn,11,quarter 4
Lai Châu,2008,83.8,Tây Bắc,Quận 6,2,quarter 1
Lai Châu,2009,80.1,Tây Bắc,Hải An,1,quarter 1
Lai Châu,2010,79.2,Tây Bắc,Liên Chiểu,6,quater 2
Lai Châu,2011,82.3,Tây Bắc,Ô Môn,6,quater 2
Lai Châu,2012,83.2,Tây Bắc,Long Biên,10,quarter 4
Lai Châu,2013,83.0,Tây Bắc,Hà Đông,6,quater 2
Lai Châu,2014,79.6,Tây Bắc,Quận 11,10,quarter 4
Lai Châu,2015,80.5,Tây Bắc,Thanh Xuân,3,quarter 1
Lai Châu,2016,81.5,Tây Bắc,Hoàng Mai,9,quarter 3
Lai Châu,2017,84.3,Tây Bắc,Bình Thạnh,8,quarter 3
Lai Châu,2018,85.2,Tây Bắc,Tây Hồ,10,quarter 4
Lai Châu,2019,82.1,Tây Bắc,Liên Chiểu,12,quarter 4
Sơn La,2006,80.0,Tây Bắc,Cầu Giấy,2,quarter 1
Sơn La,2007,80.0,Tây Bắc,Quận 3,4,quater 2
Sơn La,2008,82.8,Tây Bắc,Quận 7,1,quarter 1
Sơn La,2009,77.9,Tây Bắc,Tân Bình,10,quarter 4
Sơn La,2010,78.3,Tây Bắc,Dương Kinh,12,quarter 4
Sơn La,2011,81.2,Tây Bắc,Quận 10,11,quarter 4
Sơn La,2012,80.2,Tây Bắc,Hoàn Kiếm,11,quarter 4
Sơn La,2013,80.0,Tây Bắc,Quận 7,3,quarter 1
Sơn La,2014,79.8,Tây Bắc,Đồ Sơn,7,quarter 3
Sơn La,2015,78.7,Tây Bắc,Quận 1,9,quarter 3
Sơn La,2016,78.8,Tây Bắc,Hoàng Mai,7,quarter 3
Sơn La,2017,78.8,Tây Bắc,Thốt Nốt,4,quater 2
