city,year,temperature,area,district,month,quarter
Lai Châu,2006,23.3,Tây Bắc,Quận 6,9,quarter 3
Lai Châu,2007,23.2,Tây Bắc,Ngũ Hành Sơn,1,quarter 1
Lai Châu,2008,23.0,Tây Bắc,Bình Tân,3,quarter 1
Lai Châu,2009,23.8,Tây Bắc,Quận 8,10,quarter 4
Lai Châu,2010,24.0,Tây Bắc,Nam Từ Liêm,10,quarter 4
Lai Châu,2011,23.6,Tây Bắc,Đồ Sơn,3,quarter 1
Lai Châu,2012,20.2,Tây Bắc,Quận 4,10,quarter 4
Lai Châu,2013,19.9,Tây Bắc,Bình Tân,12,quarter 4
Lai Châu,2014,20.1,Tây Bắc,Hoàng Mai,12,quarter 4
Lai Châu,2015,20.6,Tây Bắc,Hai Bà Trưng,7,quarter 3
Lai Châu,2016,20.2,Tây Bắc,Quận 6,3,quarter 1
Lai Châu,2017,19.7,Tây Bắc,Ba Đình,1,quarter 1
Lai Châu,2018,20.0,Tây Bắc,Ngô Quyền,10,quarter 4
Lai Châu,2019,20.9,Tây Bắc,Quận 5,5,quater 2
Sơn La,2006,21.8,Tây Bắc,Gò Vấp,9,quarter 3
Sơn La,2007,21.5,Tây Bắc,Thanh Xuân,10,quarter 4
Sơn La,2008,20.7,Tây Bắc,Cầu Giấy,2,quarter 1
Sơn La,2009,21.9,Tây Bắc,Bình Thủy,3,quarter 1
Sơn La,2010,22.1,Tây Bắc,Tây Hồ,3,quarter 1
Sơn La,2011,20.6,Tây Bắc,Phú Nhuận,11,quarter 4
Sơn La,2012,21.9,Tây Bắc,Hoàng Mai,2,quarter 1
Sơn La,2013,21.4,Tây Bắc,Bình Thủy,10,quarter 4
Sơn La,2014,21.8,Tây Bắc,Thanh Khê,3,quarter 1
Sơn La,2015,22.3,Tây Bắc,Bình Thạnh,10,quarter 4
Sơn La,2016,21.9,Tây Bắc,Thanh Khê,11,quarter 4
Sơn La,2017,21.7,Tây Bắc,Hai Bà Trưng,8,quarter 3
Sơn La,2018,21.6,Tây Bắc,Quận 10,2,quarter 1
Sơn La,2019,22.7,Tây Bắc,Hải Châu,12,quarter 4
Tuyên Quang,2006,24.0,Đông Bắc,Hoàn Kiếm,3,quarter 1
Tuyên Quang,2007,24.0,Đông Bắc,Bình Thạnh,2,quarter 1
Tuyên Quang,2008,23.2,Đông Bắc,Ngô Quyền,10,quarter 4
Tuyên Quang,2009,24.2,Đông Bắc,Quận 7,8,quarter 3
Tuyên Quang,2010,24.2,Đông Bắc,Bình Thủy,5,quater 2
Tuyên Quang,2011,22.8,Đông Bắc,Kiến An,10,quarter 4
Tuyên Quang,2012,23.8,Đông Bắc,Ngô Quyền,7,quarter 3
Tuyên Quang,2013,23.8,Đông Bắc,Bình Thủy,2,quarter 1
Tuyên Quang,2014,24.0,Đông Bắc,Bắc Từ Liêm,10,quarter 4
Tuyên Quang,2015,24.8,Đông Bắc,Bình Thạnh,4,quater 2
Tuyên Quang,2016,24.4,Đông Bắc,Kiến An,7,quarter 3
Tuyên Quang,2017,24.2,Đông Bắc,Quận 11,9,quarter 3
Tuyên Quang,2018,24.4,Đông Bắc,Sơn Trà,10,quarter 4
Tuyên Quang,2019,25.0,Đông Bắc,Thanh Xuân,9,quarter 3
Hà Nội,2006,24.7,Đồng Bằng Sông Hồng,Long Biên,4,quater 2
Hà Nội,2007,24.6,Đồng Bằng Sông Hồng,Thanh Xuân,8,quarter 3
Hà Nội,2008,23.7,Đồng Bằng Sông Hồng,Hoàn Kiếm,11,quarter 4
Hà Nội,2009,24.9,Đồng Bằng Sông Hồng,Nam Từ Liêm,10,quarter 4
Hà Nội,2010,24.9,Đồng Bằng Sông Hồng,Long Biên,4,quater 2
Hà Nội,2011,23.3,Đồng Bằng Sông Hồng,Hà Đông,2,quarter 1
Hà Nội,2012,24.3,Đồng Bằng Sông Hồng,Hoàng Mai,6,quater 2
Hà Nội,2013,24.4,Đồng Bằng Sông Hồng,Thanh Xuân,3,quarter 1
Hà Nội,2014,24.6,Đồng Bằng Sông Hồng,Ba Đình,10,quarter 4
Hà Nội,2015,25.3,Đồng Bằng Sông Hồng,Nam Từ Liêm,7,quarter 3
Hà Nội,2016,25.2,Đồng Bằng Sông Hồng,Cầu Giấy,3,quarter 1
Hà Nội,2017,25.1,Đồng Bằng Sông Hồng,Bắc Từ Liêm,10,quarter 4
Hà Nội,2018,25.1,Đồng Bằng Sông Hồng,Hoàn Kiếm,1,quarter 1
Hà Nội,2019,25.9,Đồng Bằng Sông Hồng,Hà Đông,8,quarter 3
Bãi  Cháy,2006,23.9,Đông Bắc,Hồng Bàng,1,quarter 1
Bãi  Cháy,2007,23.8,Đông Bắc,Hoàng Mai,11,quarter 4
Bãi  Cháy,2008,23.1,Đông Bắc,Thanh Khê,6,quater 2
Bãi  Cháy,2009,24.0,Đông Bắc,Ngô Quyền,3,quarter 1
Bãi  Cháy,2010,24.0,Đông Bắc,Quận 10,10,quarter 4
Bãi  Cháy,2011,22.6,Đông Bắc,Quận 12,1,quarter 1
Bãi  Cháy,2012,23.5,Đông Bắc,Quận 6,3,quarter 1
Bãi  Cháy,2013,23.5,Đông Bắc,Quận 11,10,quarter 4
Bãi  Cháy,2014,23.7,Đông Bắc,Gò Vấp,2,quarter 1
Bãi  Cháy,2015,24.4,Đông Bắc,Nam Từ Liêm,5,quater 2
Bãi  Cháy,2016,24.0,Đông Bắc,Hồng Bàng,3,quarter 1
Bãi  Cháy,2017,24.0,Đông Bắc,Ba Đình,7,quarter 3
Bãi  Cháy,2018,24.0,Đông Bắc,Hoàn Kiếm,10,quarter 4
Bãi  Cháy,2019,24.8,Đông Bắc,Hai Bà Trưng,3,quarter 1
Nam Định,2006,24.4,Đồng Bằng Sông Hồng,Quận 6,2,quarter 1
Nam Định,2007,24.2,Đồng Bằng Sông Hồng,Ô Môn,5,quater 2
Nam Định,2008,23.3,Đồng Bằng Sông Hồng,Tây Hồ,11,quarter 4
Nam Định,2009,24.4,Đồng Bằng Sông Hồng,Hà Đông,10,quarter 4
Nam Định,2010,24.6,Đồng Bằng Sông Hồng,Quận 10,6,quater 2
Nam Định,2011,22.9,Đồng Bằng Sông Hồng,Tây Hồ,8,quarter 3
Nam Định,2012,24.0,Đồng Bằng Sông Hồng,Tân Phú,8,quarter 3
Nam Định,2013,23.8,Đồng Bằng Sông Hồng,Dương Kinh,8,quarter 3
Nam Định,2014,24.2,Đồng Bằng Sông Hồng,Sơn Trà,2,quarter 1
Nam Định,2015,25.0,Đồng Bằng Sông Hồng,Hoàn Kiếm,5,quater 2
Nam Định,2016,24.6,Đồng Bằng Sông Hồng,Lê Chân,1,quarter 1
