"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019 (*)"
" ";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)";"Dân số trung bình (Nghìn người)"
"Hà Nội";6761.3;6865.2;6977.0;7095.9;7216.0;7328.4;7420.1;7520.7;8093.9
"Vĩnh Phúc";1011.4;1022.4;1029.4;1041.9;1054.5;1066.0;1079.5;1092.4;1154.8
"Bắc Ninh";1063.4;1085.8;1108.2;1131.2;1154.7;1178.6;1215.2;1247.5;1378.6
"Quảng Ninh";1168.0;1177.7;1187.5;1199.4;1211.3;1224.6;1243.6;1266.5;1324.8
"Hải Dương";1729.8;1741.7;1751.8;1763.2;1774.5;1785.8;1797.3;1807.5;1896.9
"Hải Phòng";1879.8;1904.1;1925.2;1946.0;1963.3;1980.8;1997.7;2013.8;2033.3
"Hưng Yên";1138.4;1144.1;1151.6;1158.1;1164.4;1170.2;1176.3;1188.9;1255.8
"Thái Bình";1785.9;1787.4;1788.1;1788.7;1789.2;1790.0;1791.5;1793.2;1862.2
"Hà Nam";786.9;792.2;796.0;799.4;802.7;803.7;805.7;808.2;854.5
"Nam Định";1833.5;1835.1;1839.9;1845.6;1850.6;1852.6;1853.3;1854.4;1780.9
"Ninh Bình";907.7;919.1;927.2;935.8;944.4;953.1;961.9;973.3;984.5
"Hà Giang";746.6;761.6;775.8;788.8;802.0;816.1;833.5;846.5;858.1
"Cao Bằng";514.0;515.2;517.9;520.2;522.4;529.8;535.4;540.4;530.9
"Bắc Kạn";300.4;303.0;305.2;307.3;313.1;319.0;323.2;327.9;314.4
"Tuyên Quang";734.9;740.8;747.2;753.8;760.3;766.9;773.5;780.1;786.3
"Lào Cai";637.0;646.5;655.9;665.2;674.5;684.3;694.4;705.6;733.3
"Yên Bái";758.6;765.7;774.6;783.5;792.7;800.1;807.3;815.6;823.0
"Thái Nguyên";1139.4;1149.1;1156.0;1173.2;1190.6;1227.4;1255.1;1268.3;1290.9
"Lạng Sơn";740.8;745.3;749.7;753.7;757.9;768.7;778.4;790.5;782.8
"Bắc Giang";1581.8;1592.9;1608.0;1624.5;1640.9;1657.6;1674.4;1691.8;1810.4
"Phú Thọ";1329.3;1340.8;1351.2;1360.2;1369.7;1381.7;1392.9;1404.2;1466.4
"Điện Biên";510.8;519.7;528.5;538.1;547.8;557.4;567.0;576.7;601.7
"Lai Châu";389.4;397.3;405.7;415.3;425.1;436.0;446.1;456.3;462.6
"Sơn La";1118.6;1134.4;1150.5;1166.4;1182.4;1208.0;1228.9;1242.7;1252.7
"Hoà Bình";799.0;805.2;810.3;817.4;824.3;831.3;838.8;846.1;855.8
"Thanh Hoá";3437.7;3457.9;3477.7;3496.1;3514.2;3528.3;3544.4;3558.2;3645.8
"Nghệ An";2955.9;2983.3;3011.3;3037.4;3063.9;3105.5;3131.3;3157.1;3337.2
"Hà Tĩnh";1237.8;1243.2;1249.1;1255.3;1261.3;1266.7;1272.2;1277.5;1290.3
"Quảng Bình";853.4;858.3;863.4;868.2;872.9;877.7;882.5;887.6;896.6
"Quảng Trị";604.7;608.2;613.0;616.4;619.9;623.5;627.3;630.6;633.4
"Thừa Thiên Huế";1103.1;1113.9;1122.7;1131.8;1140.7;1149.8;1154.3;1163.6;1129.5
"Đà Nẵng";946.0;966.3;986.8;1007.7;1028.8;1046.2;1064.1;1080.7;1141.1
"Quảng Nam";1442.7;1452.9;1463.2;1471.8;1480.3;1487.7;1493.8;1501.1;1497.5
"Quảng Ngãi";1225.2;1229.8;1236.3;1241.4;1246.4;1251.5;1261.6;1272.8;1231.9
"Bình Định";1498.2;1502.4;1509.3;1514.5;1519.7;1524.6;1529.0;1534.8;1487.8
"Phú Yên";870.0;876.1;882.0;887.4;893.4;899.4;904.4;909.5;873.2
"Khánh Hoà";1171.4;1180.1;1188.4;1196.9;1205.3;1213.8;1222.2;1232.4;1232.8
"Ninh Thuận";574.1;579.4;584.9;590.4;595.9;601.4;607.0;611.8;591.0
"Bình Thuận";1184.5;1191.6;1199.5;1207.4;1215.2;1222.7;1230.4;1239.2;1232.3
"Tây Nguyên";5282.2;5363.3;5445.8;5525.8;5607.9;5693.2;5778.5;5871.0;5861.3
"Kon Tum";451.6;462.7;473.3;484.2;495.9;507.8;520.0;535.0;543.4
"Gia Lai";1321.7;1340.5;1359.1;1377.8;1397.4;1417.3;1437.4;1458.5;1520.2
"Đắk Lắk";1770.5;1791.4;1812.8;1833.3;1853.7;1874.5;1896.6;1919.2;1872.6
"Đắk Nông";519.6;536.7;555.1;571.3;587.8;605.4;625.6;645.4;625.8
"Lâm Đồng";1218.7;1232.0;1245.4;1259.3;1273.1;1288.2;1298.9;1312.9;1299.3
"Đông Nam Bộ";14799.6;15130.6;15459.3;15790.4;16127.8;16424.3;16739.6;17074.3;17930.3
"Bình Phước";897.3;908.9;920.7;932.5;944.4;956.4;968.9;979.6;997.8
"Tây Ninh";1082.0;1089.7;1096.9;1104.2;1111.5;1118.8;1126.2;1133.4;1171.7
"Bình Dương";1659.1;1731.0;1802.5;1873.6;1947.2;1995.8;2071.0;2163.6;2456.3
"Đồng Nai";2640.2;2707.8;2772.7;2838.6;2905.8;2963.8;3027.3;3086.1;3113.7
"Bà Rịa - Vũng Tàu";1022.5;1033.0;1046.5;1059.5;1072.6;1092.0;1101.6;1112.9;1152.2
"TP.Hồ Chí Minh";7498.4;7660.3;7820.0;7981.9;8146.3;8297.5;8444.6;8598.7;9038.6
"Long An";1449.9;1460.3;1469.9;1477.3;1484.7;1490.6;1496.8;1503.1;1695.1
"Tiền Giang";1682.6;1692.5;1703.4;1716.1;1728.7;1740.2;1751.8;1762.3;1766.3
"Bến Tre";1257.4;1258.9;1260.6;1262.2;1263.7;1265.2;1266.7;1268.2;1289.1
"Trà Vinh";1013.1;1018.4;1023.9;1029.3;1034.6;1040.5;1045.6;1049.8;1009.3
"Vĩnh Long";1029.1;1034.5;1037.8;1041.5;1045.0;1048.6;1050.2;1051.8;1022.6
"Đồng Tháp";1671.7;1675.0;1678.4;1681.3;1684.3;1687.3;1690.3;1693.3;1598.8
"An Giang";2149.0;2151.2;2153.3;2155.8;2158.3;2159.9;2161.7;2164.2;1907.4
"Kiên Giang";1710.9;1723.8;1734.3;1745.5;1761.0;1776.7;1792.6;1810.5;1723.7
"Cần Thơ";1208.0;1218.3;1228.5;1238.3;1248.0;1257.9;1272.8;1282.3;1236.0
"Hậu Giang";761.7;763.8;766.2;768.4;770.4;772.5;774.6;776.7;732.2
"Sóc Trăng";1298.4;1301.5;1304.7;1307.7;1310.7;1312.5;1314.3;1315.9;1199.5
"Bạc Liêu";864.9;869.3;873.6;877.9;882.0;886.2;894.3;897.0;908.2
"Cà Mau";1210.0;1212.1;1214.2;1216.4;1218.9;1222.6;1226.3;1229.6;1194.3
