city,year,temperature
Lai Châu,2006,23.3
Lai Châu,2007,23.2
Lai Châu,2008,23.0
Lai Châu,2009,23.8
Lai Châu,2010,24.0
Lai Châu,2011,23.6
Lai Châu,2012,20.2
Lai Châu,2013,19.9
Lai Châu,2014,20.1
Lai Châu,2015,20.6
Lai Châu,2016,20.2
Lai Châu,2017,19.7
Lai Châu,2018,20.0
Lai Châu,2019,20.9
Sơn La,2006,21.8
Sơn La,2007,21.5
Sơn La,2008,20.7
Sơn La,2009,21.9
Sơn La,2010,22.1
Sơn La,2011,20.6
Sơn La,2012,21.9
Sơn La,2013,21.4
Sơn La,2014,21.8
Sơn La,2015,22.3
Sơn La,2016,21.9
Sơn La,2017,21.7
Sơn La,2018,21.6
Sơn La,2019,22.7
Tuyên Quang,2006,24.0
Tuyên Quang,2007,24.0
Tuyên Quang,2008,23.2
Tuyên Quang,2009,24.2
Tuyên Quang,2010,24.2
Tuyên Quang,2011,22.8
Tuyên Quang,2012,23.8
Tuyên Quang,2013,23.8
Tuyên Quang,2014,24.0
Tuyên Quang,2015,24.8
Tuyên Quang,2016,24.4
Tuyên Quang,2017,24.2
Tuyên Quang,2018,24.4
Tuyên Quang,2019,25.0
Hà Nội,2006,24.7
Hà Nội,2007,24.6
Hà Nội,2008,23.7
Hà Nội,2009,24.9
Hà Nội,2010,24.9
Hà Nội,2011,23.3
Hà Nội,2012,24.3
Hà Nội,2013,24.4
Hà Nội,2014,24.6
Hà Nội,2015,25.3
Hà Nội,2016,25.2
Hà Nội,2017,25.1
Hà Nội,2018,25.1
Hà Nội,2019,25.9
Bãi  Cháy,2006,23.9
Bãi  Cháy,2007,23.8
Bãi  Cháy,2008,23.1
Bãi  Cháy,2009,24.0
Bãi  Cháy,2010,24.0
Bãi  Cháy,2011,22.6
Bãi  Cháy,2012,23.5
Bãi  Cháy,2013,23.5
Bãi  Cháy,2014,23.7
Bãi  Cháy,2015,24.4
Bãi  Cháy,2016,24.0
Bãi  Cháy,2017,24.0
Bãi  Cháy,2018,24.0
Bãi  Cháy,2019,24.8
Nam Định,2006,24.4
Nam Định,2007,24.2
Nam Định,2008,23.3
Nam Định,2009,24.4
Nam Định,2010,24.6
Nam Định,2011,22.9
Nam Định,2012,24.0
Nam Định,2013,23.8
Nam Định,2014,24.2
Nam Định,2015,25.0
Nam Định,2016,24.6
Nam Định,2017,24.4
Nam Định,2018,24.5
Nam Định,2019,25.3
Vinh,2006,25.1
Vinh,2007,24.9
Vinh,2008,24.1
Vinh,2009,25.0
Vinh,2010,25.3
Vinh,2011,23.3
Vinh,2012,24.8
Vinh,2013,24.5
Vinh,2014,24.8
Vinh,2015,25.5
Vinh,2016,24.9
Vinh,2017,24.9
Vinh,2018,24.9
Vinh,2019,26.2
Huế,2006,25.4
Huế,2007,25.0
Huế,2008,24.2
Huế,2009,25.0
Huế,2010,25.4
Huế,2011,23.8
Huế,2012,25.3
Huế,2013,25.0
Huế,2014,25.3
Huế,2015,25.7
Huế,2016,25.4
Huế,2017,25.1
Huế,2018,25.1
Huế,2019,26.4
Đà Nẵng,2006,26.3
Đà Nẵng,2007,26.2
Đà Nẵng,2008,25.5
Đà Nẵng,2009,26.3
Đà Nẵng,2010,26.3
Đà Nẵng,2011,25.2
Đà Nẵng,2012,26.5
Đà Nẵng,2013,26.2
Đà Nẵng,2014,26.3
Đà Nẵng,2015,26.7
Đà Nẵng,2016,26.6
Đà Nẵng,2017,26.5
Đà Nẵng,2018,26.5
Đà Nẵng,2019,27.3
Qui Nhơn,2006,27.4
Qui Nhơn,2007,27.0
Qui Nhơn,2008,26.8
Qui Nhơn,2009,27.2
Qui Nhơn,2010,27.4
Qui Nhơn,2011,26.9
Qui Nhơn,2012,27.7
Qui Nhơn,2013,27.2
Qui Nhơn,2014,27.2
Qui Nhơn,2015,27.5
Qui Nhơn,2016,27.4
Qui Nhơn,2017,27.4
Qui Nhơn,2018,27.6
Qui Nhơn,2019,28.1
Pleiku,2006,22.3
Pleiku,2007,22.2
Pleiku,2008,21.8
Pleiku,2009,22.0
Pleiku,2010,22.0
Pleiku,2011,21.6
Pleiku,2012,22.5
Pleiku,2013,22.4
Pleiku,2014,22.4
Pleiku,2015,22.9
Pleiku,2016,23.3
Pleiku,2017,22.8
Pleiku,2018,22.6
Pleiku,2019,22.9
Đà Lạt,2006,18.3
Đà Lạt,2007,18.1
Đà Lạt,2008,18.0
Đà Lạt,2009,18.2
Đà Lạt,2010,18.2
Đà Lạt,2011,18.1
Đà Lạt,2012,18.5
Đà Lạt,2013,18.4
Đà Lạt,2014,18.2
Đà Lạt,2015,18.5
Đà Lạt,2016,19.0
Đà Lạt,2017,18.7
Đà Lạt,2018,18.4
Đà Lạt,2019,18.5
Nha Trang,2006,27.2
Nha Trang,2007,26.7
Nha Trang,2008,26.6
Nha Trang,2009,27.0
Nha Trang,2010,27.4
Nha Trang,2011,26.7
Nha Trang,2012,27.5
Nha Trang,2013,27.2
Nha Trang,2014,27.1
Nha Trang,2015,27.4
Nha Trang,2016,27.5
Nha Trang,2017,27.4
Nha Trang,2018,27.4
Nha Trang,2019,27.9
Vũng Tàu,2006,28.0
Vũng Tàu,2007,27.8
Vũng Tàu,2008,27.7
Vũng Tàu,2009,27.7
Vũng Tàu,2010,27.7
Vũng Tàu,2011,27.5
Vũng Tàu,2012,28.0
Vũng Tàu,2013,28.0
Vũng Tàu,2014,27.9
Vũng Tàu,2015,28.1
Vũng Tàu,2016,28.3
Vũng Tàu,2017,28.0
Vũng Tàu,2018,27.9
Vũng Tàu,2019,28.2
Cà Mau,2006,27.6
Cà Mau,2007,27.5
Cà Mau,2008,27.2
Cà Mau,2009,27.5
Cà Mau,2010,27.5
Cà Mau,2011,27.5
Cà Mau,2012,27.7
Cà Mau,2013,27.8
Cà Mau,2014,27.7
Cà Mau,2015,28.0
Cà Mau,2016,28.2
Cà Mau,2017,27.9
Cà Mau,2018,27.9
Cà Mau,2019,28.1
