city,year,sumOfForestAcreage,ratioForestCover,area,district
Hà Nội,2008,23.0,6.6,Đồng Bằng Sông Hồng,Huyện Quốc Oai
Hà Nội,2009,24.5,7.1,Đồng Bằng Sông Hồng,Quận Hai Bà Trưng
Hà Nội,2010,24.3,7.0,Đồng Bằng Sông Hồng,Huyện Quốc Oai
Hà Nội,2011,24.3,7.0,Đồng Bằng Sông Hồng,Quận Ba Đình
Hà Nội,2012,24.5,7.1,Đồng Bằng Sông Hồng,Huyện Thường Tín
Hà Nội,2013,23.8,6.8,Đồng Bằng Sông Hồng,Quận Bắc Từ Liêm
Hà Nội,2014,23.7,6.8,Đồng Bằng Sông Hồng,Quận Nam Từ Liêm
Hà Nội,2015,20.0,5.6,Đồng Bằng Sông Hồng,Quận Tây Hồ
Hà Nội,2016,20.0,5.6,Đồng Bằng Sông Hồng,Huyện Ứng Hòa
Hà Nội,2018,19.6,5.5,Đồng Bằng Sông Hồng,Quận Tây Hồ
Hà Nội,2019,19.6,5.7,Đồng Bằng Sông Hồng,Huyện Đông Anh
Vĩnh Phúc,2008,28.4,21.8,Đồng Bằng Sông Hồng,Huyện Tam Dương
Vĩnh Phúc,2009,28.6,22.3,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2010,28.5,22.4,Đồng Bằng Sông Hồng,Huyện Yên Lạc
Vĩnh Phúc,2011,28.2,22.1,Đồng Bằng Sông Hồng,Huyện Tam Đảo
Vĩnh Phúc,2012,31.0,24.1,Đồng Bằng Sông Hồng,Huyện Vĩnh Tường
Vĩnh Phúc,2013,31.9,25.0,Đồng Bằng Sông Hồng,Huyện Tam Dương
Vĩnh Phúc,2014,31.8,24.9,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2015,33.3,24.1,Đồng Bằng Sông Hồng,Thành phố Vĩnh Yên
Vĩnh Phúc,2016,33.3,23.8,Đồng Bằng Sông Hồng,Thị xã Phúc Yên
Vĩnh Phúc,2018,33.5,24.4,Đồng Bằng Sông Hồng,Huyện Tam Dương
Vĩnh Phúc,2019,33.2,24.7,Đồng Bằng Sông Hồng,Thị xã Phúc Yên
Bắc Ninh,2008,0.6,0.5,Đồng Bằng Sông Hồng,Huyện Lương Tài
Bắc Ninh,2009,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Lương Tài
Bắc Ninh,2010,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Yên Phong
Bắc Ninh,2011,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Thuận Thành
Bắc Ninh,2012,0.6,0.7,Đồng Bằng Sông Hồng,Huyện Thuận Thành
