city,year,industry,area,district
Hà Nội,2012,105.0,Đồng Bằng Sông Hồng,Quận Long BiênQuận Cầu Giấy
Hà Nội,2013,104.5,Đồng Bằng Sông Hồng,Huyện Thạch Thất
Hà Nội,2014,104.2,Đồng Bằng Sông Hồng,Quận Long BiênQuận Cầu Giấy
Hà Nội,2015,108.3,Đồng Bằng Sông Hồng,Quận Hai Bà Trưng
Hà Nội,2016,107.3,Đồng Bằng Sông Hồng,Huyện Đan Phượng
Hà Nội,2017,107.0,Đồng Bằng Sông Hồng,Huyện Thanh Trì
Hà Nội,2018,106.9,Đồng Bằng Sông Hồng,Huyện Thanh Trì
Hà Nội,2019,108.5,Đồng Bằng Sông Hồng,Huyện Ứng Hòa
Vĩnh Phúc,2012,97.0,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2013,114.0,Đồng Bằng Sông Hồng,Thành phố Vĩnh Yên
Vĩnh Phúc,2014,97.1,Đồng Bằng Sông Hồng,Huyện Yên Lạc
Vĩnh Phúc,2015,101.6,Đồng Bằng Sông Hồng,Huyện Yên Lạc
Vĩnh Phúc,2016,105.8,Đồng Bằng Sông Hồng,Thành phố Vĩnh Yên
Vĩnh Phúc,2017,107.5,Đồng Bằng Sông Hồng,Huyện Lập Thạch
Vĩnh Phúc,2018,114.5,Đồng Bằng Sông Hồng,Huyện Yên Lạc
Vĩnh Phúc,2019,111.1,Đồng Bằng Sông Hồng,Thành phố Vĩnh Yên
Bắc Ninh,2012,175.0,Đồng Bằng Sông Hồng,Huyện Tiên Du
Bắc Ninh,2013,149.2,Đồng Bằng Sông Hồng,Huyện Tiên Du
Bắc Ninh,2014,87.5,Đồng Bằng Sông Hồng,Huyện Quế Võ
Bắc Ninh,2015,112.0,Đồng Bằng Sông Hồng,Thành phố Bắc Ninh
Bắc Ninh,2016,105.1,Đồng Bằng Sông Hồng,Huyện Thuận Thành
Bắc Ninh,2017,135.5,Đồng Bằng Sông Hồng,Huyện Gia Bình
Bắc Ninh,2018,107.4,Đồng Bằng Sông Hồng,Thành phố Bắc Ninh
Bắc Ninh,2019,88.6,Đồng Bằng Sông Hồng,Huyện Quế Võ
Quảng Ninh,2012,92.0,Đồng Bằng Sông Hồng,Thành phố Hạ Long
Quảng Ninh,2013,102.3,Đồng Bằng Sông Hồng,Huyện Bình Liêu
Quảng Ninh,2014,104.7,Đồng Bằng Sông Hồng,Thành phố Móng Cái
Quảng Ninh,2015,105.2,Đồng Bằng Sông Hồng,Thị xã Quảng Yên
Quảng Ninh,2016,100.1,Đồng Bằng Sông Hồng,Thị xã Quảng Yên
Quảng Ninh,2017,103.1,Đồng Bằng Sông Hồng,Huyện Bình Liêu
Quảng Ninh,2018,108.7,Đồng Bằng Sông Hồng,Thành phố Uông Bí
Quảng Ninh,2019,113.5,Đồng Bằng Sông Hồng,Huyện Hoành Bồ
Hải Dương,2012,99.0,Đồng Bằng Sông Hồng,Huyện Bình Giang
Hải Dương,2013,108.1,Đồng Bằng Sông Hồng,Huyện Tứ Kỳ
Hải Dương,2014,114.6,Đồng Bằng Sông Hồng,Huyện Cẩm Giàng
Hải Dương,2015,110.6,Đồng Bằng Sông Hồng,Huyện Nam Sách
Hải Dương,2016,108.8,Đồng Bằng Sông Hồng,Thị xã Chí Linh
Hải Dương,2017,109.6,Đồng Bằng Sông Hồng,Thành phố Hải Dương
Hải Dương,2018,110.0,Đồng Bằng Sông Hồng,Huyện Nam Sách
Hải Dương,2019,110.2,Đồng Bằng Sông Hồng,Huyện Nam Sách
Hải Phòng,2012,103.9,Đồng Bằng Sông Hồng,Huyện Kiến Thuỵ
Hải Phòng,2013,106.5,Đồng Bằng Sông Hồng,Quận Đồ Sơn
Hải Phòng,2014,112.9,Đồng Bằng Sông Hồng,Quận Ngô Quyền
Hải Phòng,2015,116.6,Đồng Bằng Sông Hồng,Huyện Kiến Thuỵ
Hải Phòng,2016,116.9,Đồng Bằng Sông Hồng,Quận Lê Chân
Hải Phòng,2017,120.0,Đồng Bằng Sông Hồng,Huyện Tiên Lãng
Hải Phòng,2018,125.3,Đồng Bằng Sông Hồng,Huyện An Lão
Hải Phòng,2019,124.3,Đồng Bằng Sông Hồng,Huyện Tiên Lãng
Hưng Yên,2012,108.9,Đồng Bằng Sông Hồng,Huyện Tiên Lữ
Hưng Yên,2013,107.2,Đồng Bằng Sông Hồng,Huyện Văn Lâm
Hưng Yên,2014,107.5,Đồng Bằng Sông Hồng,Thành phố Hưng Yên
Hưng Yên,2015,108.7,Đồng Bằng Sông Hồng,Huyện Mỹ Hào
Hưng Yên,2016,108.5,Đồng Bằng Sông Hồng,Huyện Yên Mỹ
Hưng Yên,2017,109.4,Đồng Bằng Sông Hồng,Huyện Văn Giang
Hưng Yên,2018,110.7,Đồng Bằng Sông Hồng,Huyện Phù Cừ
Hưng Yên,2019,111.6,Đồng Bằng Sông Hồng,Huyện Yên Mỹ
Thái Bình,2012,106.5,Đồng Bằng Sông Hồng,Huyện Thái Thụy
Thái Bình,2013,114.1,Đồng Bằng Sông Hồng,Thành phố Thái Bình
Thái Bình,2014,101.8,Đồng Bằng Sông Hồng,Huyện Thái Thụy
Thái Bình,2015,108.3,Đồng Bằng Sông Hồng,Huyện Đông Hưng
Thái Bình,2016,112.3,Đồng Bằng Sông Hồng,Huyện Quỳnh Phụ
Thái Bình,2017,116.5,Đồng Bằng Sông Hồng,Huyện Vũ Thư
Thái Bình,2018,115.1,Đồng Bằng Sông Hồng,Huyện Tiền Hải
Thái Bình,2019,115.9,Đồng Bằng Sông Hồng,Huyện Kiến Xương
Hà Nam,2012,130.7,Đồng Bằng Sông Hồng,Huyện Kim Bảng
Hà Nam,2013,110.9,Đồng Bằng Sông Hồng,Huyện Thanh Liêm
Hà Nam,2014,111.9,Đồng Bằng Sông Hồng,Huyện Bình Lục
Hà Nam,2015,124.8,Đồng Bằng Sông Hồng,Huyện Bình Lục
Hà Nam,2016,111.1,Đồng Bằng Sông Hồng,Huyện Lý Nhân
Hà Nam,2017,112.8,Đồng Bằng Sông Hồng,Huyện Kim Bảng
Hà Nam,2018,113.0,Đồng Bằng Sông Hồng,Huyện Lý Nhân
Hà Nam,2019,112.8,Đồng Bằng Sông Hồng,Huyện Kim Bảng
Nam Định,2012,116.4,Đồng Bằng Sông Hồng,Thành phố Nam Định
Nam Định,2013,116.1,Đồng Bằng Sông Hồng,Huyện Mỹ Lộc
Nam Định,2014,110.6,Đồng Bằng Sông Hồng,Huyện Xuân Trường
Nam Định,2015,110.3,Đồng Bằng Sông Hồng,Thành phố Nam Định
Nam Định,2016,108.8,Đồng Bằng Sông Hồng,Huyện Xuân Trường
Nam Định,2017,109.0,Đồng Bằng Sông Hồng,Huyện Nam Trực
Nam Định,2018,111.0,Đồng Bằng Sông Hồng,Thành phố Nam Định
Nam Định,2019,113.8,Đồng Bằng Sông Hồng,Huyện Giao Thủy
