city,year,population,area,district
Hà Nội,2011,6761.3,Đồng Bằng Sông Hồng,Quận Hoàn Kiếm
Hà Nội,2012,6865.2,Đồng Bằng Sông Hồng,Huyện Phú Xuyên
Hà Nội,2013,6977.0,Đồng Bằng Sông Hồng,Huyện Thường Tín
Hà Nội,2014,7095.9,Đồng Bằng Sông Hồng,Huyện Sóc Sơn
Hà Nội,2015,7216.0,Đồng Bằng Sông Hồng,Huyện Chương Mỹ
Hà Nội,2016,7328.4,Đồng Bằng Sông Hồng,Huyện Mê Linh
Hà Nội,2017,7420.1,Đồng Bằng Sông Hồng,Huyện Mỹ Đức
Hà Nội,2018,7520.7,Đồng Bằng Sông Hồng,Quận Hai Bà Trưng
Hà Nội,2019,8093.9,Đồng Bằng Sông Hồng,Huyện Thạch Thất
Vĩnh Phúc,2011,1011.4,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2012,1022.4,Đồng Bằng Sông Hồng,Huyện Sông Lô
Vĩnh Phúc,2013,1029.4,Đồng Bằng Sông Hồng,Huyện Lập Thạch
Vĩnh Phúc,2014,1041.9,Đồng Bằng Sông Hồng,Huyện Vĩnh Tường
Vĩnh Phúc,2015,1054.5,Đồng Bằng Sông Hồng,Huyện Tam Đảo
Vĩnh Phúc,2016,1066.0,Đồng Bằng Sông Hồng,Huyện Tam Đảo
Vĩnh Phúc,2017,1079.5,Đồng Bằng Sông Hồng,Huyện Yên Lạc
Vĩnh Phúc,2018,1092.4,Đồng Bằng Sông Hồng,Huyện Lập Thạch
Vĩnh Phúc,2019,1154.8,Đồng Bằng Sông Hồng,Thành phố Vĩnh Yên
Bắc Ninh,2011,1063.4,Đồng Bằng Sông Hồng,Huyện Thuận Thành
Bắc Ninh,2012,1085.8,Đồng Bằng Sông Hồng,Huyện Gia Bình
Bắc Ninh,2013,1108.2,Đồng Bằng Sông Hồng,Huyện Quế Võ
Bắc Ninh,2014,1131.2,Đồng Bằng Sông Hồng,Huyện Gia Bình
Bắc Ninh,2015,1154.7,Đồng Bằng Sông Hồng,Thành phố Bắc Ninh
Bắc Ninh,2016,1178.6,Đồng Bằng Sông Hồng,Thành phố Bắc Ninh
Bắc Ninh,2017,1215.2,Đồng Bằng Sông Hồng,Huyện Lương Tài
Bắc Ninh,2018,1247.5,Đồng Bằng Sông Hồng,Huyện Lương Tài
Bắc Ninh,2019,1378.6,Đồng Bằng Sông Hồng,Huyện Lương Tài
